"leaf","path_count","repo_count","key_paths","repos"
"storage","3","2","networking.storage;storage;networking.onprem.vlans.storage","azurelocal-loadtools,azurelocal-toolkit"
"size_gb","3","2","data_disks.size_gb;cluster_shared_volumes.volumes.size_gb;compute.cluster_shared_volumes.volumes.size_gb","azurelocal-sofs-fslogix,azurelocal-toolkit"
"domain_join_password","3","2","domain.domain_join_password;credentials.domain_join_password;security.credentials.domain_join_password","azurelocal-avd,azurelocal-toolkit"
"description","3","2","metadata.description;variables.description;networking.azure.sdn.nsgs.description","azurelocal-loadtools,azurelocal-toolkit"
"admin_username","3","2","ansible_controller.admin_username;vm.admin_username;azure_infrastructure.virtual_machines.admin_username","azurelocal-sofs-fslogix,azurelocal-toolkit"
"workload","2","4","tags.workload;networking.onprem.vlans.workload","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"subscription_id","2","4","azure.subscription_id;keyvault.subscription_id","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"solution","2","4","tags.solution;solution","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit,azurelocal-vm-conversion-toolkit"
"custom_location_id","2","4","session_hosts.custom_location_id;azure_local.custom_location_id","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-vm-conversion-toolkit"
"storage_path_id","2","3","session_hosts.storage_path_id;azure_local.storage_path_id","azurelocal-avd,azurelocal-loadtools,azurelocal-sofs-fslogix"
"networking","2","3","networking;azure_infrastructure.networking","azurelocal-avd,azurelocal-loadtools,azurelocal-toolkit"
"logical_network_id","2","3","session_hosts.logical_network_id;azure_local.logical_network_id","azurelocal-avd,azurelocal-sofs-fslogix,azurelocal-vm-conversion-toolkit"
"keyvault","2","3","keyvault;security.keyvault","azurelocal-loadtools,azurelocal-sofs-fslogix,azurelocal-toolkit"
"deployment","2","3","deployment;cluster.deployment","azurelocal-avd,azurelocal-sofs-fslogix,azurelocal-toolkit"
"vm_processors","2","2","session_hosts.vm_processors;vmfleet.vm_processors","azurelocal-avd,azurelocal-loadtools"
"retention_days","2","2","monitoring.log_analytics.retention_days;azure_infrastructure.log_analytics.management.retention_days","azurelocal-avd,azurelocal-toolkit"
"publisher","2","2","image.marketplace.publisher;marketplace_images.images.publisher","azurelocal-avd,azurelocal-toolkit"
"Owner","2","2","tags.Owner;site.owner","azurelocal-avd,azurelocal-toolkit"
"offer","2","2","image.marketplace.offer;marketplace_images.images.offer","azurelocal-avd,azurelocal-toolkit"
"netbios","2","2","domain.netbios;identity.active_directory.domain.netbios","azurelocal-sofs-fslogix,azurelocal-toolkit"
"management_ip","2","2","azure_local.nodes.management_ip;compute.cluster_nodes.management_ip","azurelocal-loadtools,azurelocal-toolkit"
"domain_join_username","2","2","domain.domain_join_username;security.credentials.domain_join_username","azurelocal-avd,azurelocal-toolkit"
"defender","2","2","monitoring.defender;security.defender","azurelocal-avd,azurelocal-toolkit"
"credentials","2","2","credentials;security.credentials","azurelocal-loadtools,azurelocal-toolkit"
"alerts","2","2","monitoring.alerts;networking.onprem.network_devices.opengear.alerts","azurelocal-avd,azurelocal-toolkit"
"admin_password","2","2","vm.admin_password;azure_infrastructure.virtual_machines.admin_password","azurelocal-sofs-fslogix,azurelocal-toolkit"
