"repo","file","key_path"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.off_peak.load_balancer_type"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.off_peak.start_time"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.peak"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.peak.load_balancer_type"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.peak.start_time"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.capacity_threshold_percent"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.force_logoff"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.load_balancer_type"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.minimum_host_percent"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.notification_message"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.start_time"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.wait_time_minutes"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.capacity_threshold_percent"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.load_balancer_type"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.minimum_host_percent"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.start_time"
"azurelocal-avd","config/variables.example.yml","scaling.time_zone"
"azurelocal-avd","config/variables.example.yml","security"
"azurelocal-avd","config/variables.example.yml","security.key_vault_name"
"azurelocal-avd","config/variables.example.yml","security.key_vault_resource_group"
"azurelocal-avd","config/variables.example.yml","session_hosts"
"azurelocal-avd","config/variables.example.yml","session_hosts.custom_location_id"
"azurelocal-avd","config/variables.example.yml","session_hosts.gallery_image_id"
"azurelocal-avd","config/variables.example.yml","session_hosts.logical_network_id"
"azurelocal-avd","config/variables.example.yml","session_hosts.resource_group"
"azurelocal-avd","config/variables.example.yml","session_hosts.session_host_count"
"azurelocal-avd","config/variables.example.yml","session_hosts.session_host_os"
"azurelocal-avd","config/variables.example.yml","session_hosts.storage_path_id"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_admin_password"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_admin_username"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_memory_mb"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_naming_prefix"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_processors"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_start_index"
"azurelocal-avd","config/variables.example.yml","subscription"
"azurelocal-avd","config/variables.example.yml","subscription.avd_subscription_id"
"azurelocal-avd","config/variables.example.yml","subscription.azure_local_subscription_id"
"azurelocal-avd","config/variables.example.yml","subscription.location"
"azurelocal-avd","config/variables.example.yml","subscription.tenant_id"
"azurelocal-avd","config/variables.example.yml","tags"
"azurelocal-avd","config/variables.example.yml","tags.CostCenter"
"azurelocal-avd","config/variables.example.yml","tags.Environment"
"azurelocal-avd","config/variables.example.yml","tags.ManagedBy"
"azurelocal-avd","config/variables.example.yml","tags.Owner"
"azurelocal-avd","config/variables.example.yml","tags.Project"
"azurelocal-loadtools","config/variables.example.yml","azure"
"azurelocal-loadtools","config/variables.example.yml","azure_local"
"azurelocal-loadtools","config/variables.example.yml","azure_local.cluster_domain"
"azurelocal-loadtools","config/variables.example.yml","azure_local.cluster_name"
"azurelocal-loadtools","config/variables.example.yml","azure_local.custom_location_id"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes.management_ip"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes.role"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes.storage_ip"
"azurelocal-loadtools","config/variables.example.yml","azure_local.storage_path_id"
"azurelocal-loadtools","config/variables.example.yml","azure.location"
"azurelocal-loadtools","config/variables.example.yml","azure.resource_group"
"azurelocal-loadtools","config/variables.example.yml","azure.subscription_id"
"azurelocal-loadtools","config/variables.example.yml","azure.tenant_id"
"azurelocal-loadtools","config/variables.example.yml","credentials"
"azurelocal-loadtools","config/variables.example.yml","credentials.cluster_admin_password"
"azurelocal-loadtools","config/variables.example.yml","credentials.cluster_admin_username"
"azurelocal-loadtools","config/variables.example.yml","credentials.linux_ssh_key_path"
"azurelocal-loadtools","config/variables.example.yml","credentials.linux_ssh_username"
"azurelocal-loadtools","config/variables.example.yml","credentials.vmfleet_admin_password"
"azurelocal-loadtools","config/variables.example.yml","credentials.vmfleet_admin_username"
"azurelocal-loadtools","config/variables.example.yml","hammerdb"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.db_name"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.db_server"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.db_type"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.virtual_users"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.warehouse_count"
"azurelocal-loadtools","config/variables.example.yml","keyvault"
"azurelocal-loadtools","config/variables.example.yml","keyvault.auth_method"
"azurelocal-loadtools","config/variables.example.yml","keyvault.name"
"azurelocal-loadtools","config/variables.example.yml","monitoring"
"azurelocal-loadtools","config/variables.example.yml","monitoring.collection_interval_seconds"
"azurelocal-loadtools","config/variables.example.yml","monitoring.enable_real_time"
"azurelocal-loadtools","config/variables.example.yml","monitoring.log_analytics_shared_key"
"azurelocal-loadtools","config/variables.example.yml","monitoring.log_analytics_workspace_id"
"azurelocal-loadtools","config/variables.example.yml","networking"
"azurelocal-loadtools","config/variables.example.yml","networking.compute"
"azurelocal-loadtools","config/variables.example.yml","networking.compute.subnet"
"azurelocal-loadtools","config/variables.example.yml","networking.compute.vlan_id"
"azurelocal-loadtools","config/variables.example.yml","networking.management"
"azurelocal-loadtools","config/variables.example.yml","networking.management.subnet"
"azurelocal-loadtools","config/variables.example.yml","networking.management.vlan_id"
"azurelocal-loadtools","config/variables.example.yml","networking.storage"
"azurelocal-loadtools","config/variables.example.yml","networking.storage.rdma_enabled"
"azurelocal-loadtools","config/variables.example.yml","networking.storage.subnet"
"azurelocal-loadtools","config/variables.example.yml","networking.storage.vlan_id"
"azurelocal-loadtools","config/variables.example.yml","reporting"
"azurelocal-loadtools","config/variables.example.yml","reporting.format"
"azurelocal-loadtools","config/variables.example.yml","reporting.include_charts"
"azurelocal-loadtools","config/variables.example.yml","reporting.output_dir"
"azurelocal-loadtools","config/variables.example.yml","storage"
"azurelocal-loadtools","config/variables.example.yml","storage.base_vhd_path"
"azurelocal-loadtools","config/variables.example.yml","storage.collect_volume_path"
"azurelocal-loadtools","config/variables.example.yml","storage.csv_path"
"azurelocal-loadtools","config/variables.example.yml","tags"
"azurelocal-loadtools","config/variables.example.yml","tags.environment"
"azurelocal-loadtools","config/variables.example.yml","tags.project"
"azurelocal-loadtools","config/variables.example.yml","tags.solution"
"azurelocal-loadtools","config/variables.example.yml","tags.workload"
"azurelocal-loadtools","config/variables.example.yml","testing"
"azurelocal-loadtools","config/variables.example.yml","testing.default_profile"
"azurelocal-loadtools","config/variables.example.yml","testing.default_tool"
"azurelocal-loadtools","config/variables.example.yml","testing.duration_seconds"
"azurelocal-loadtools","config/variables.example.yml","testing.warmup_seconds"
"azurelocal-loadtools","config/variables.example.yml","vmfleet"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.block_size"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.data_disk_count"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.data_disk_size_gb"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.diskspd_version"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.outstanding_io"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.random_ratio"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.test_duration_seconds"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.threads_per_vm"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.version"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.vm_count"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.vm_memory_gb"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.vm_processors"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.warmup_seconds"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.write_ratio"
"azurelocal-loadtools","config/variables.example.yml","winrm"
"azurelocal-loadtools","config/variables.example.yml","winrm.authentication"
"azurelocal-loadtools","config/variables.example.yml","winrm.operation_timeout_seconds"
"azurelocal-loadtools","config/variables.example.yml","winrm.port"
"azurelocal-loadtools","config/variables.example.yml","winrm.use_ssl"
"azurelocal-loadtools","config/variables/variables.yml","metadata"
"azurelocal-loadtools","config/variables/variables.yml","metadata.description"
"azurelocal-loadtools","config/variables/variables.yml","metadata.last_modified"
"azurelocal-loadtools","config/variables/variables.yml","metadata.version"
"azurelocal-loadtools","config/variables/variables.yml","variables"
"azurelocal-loadtools","config/variables/variables.yml","variables.category"
"azurelocal-loadtools","config/variables/variables.yml","variables.description"
"azurelocal-loadtools","config/variables/variables.yml","variables.required"
"azurelocal-loadtools","config/variables/variables.yml","variables.sensitive"
"azurelocal-loadtools","config/variables/variables.yml","variables.solutions"
"azurelocal-loadtools","config/variables/variables.yml","variables.type"
"azurelocal-loadtools","config/variables/variables.yml","variables.value"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.admin_username"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.existing_controller_ip"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.existing_controller_user"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.hub_rg"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.hub_subnet_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.name"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.private_ip"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.size"
"azurelocal-sofs-fslogix","config/variables.example.yml","ansible_controller.ssh_public_key_path"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local.cluster_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local.custom_location_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local.gallery_image_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local.logical_network_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local.storage_path_id"
