"repo","file","key_path","canonical_key_path","classification","notes"
"azurelocal-avd","config/variables.example.yml","image.customization","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.customization.additional_scripts","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.customization.install_m365_apps","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.customization.install_onedrive","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.customization.install_teams_new","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.gallery","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.gallery.gallery_image_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.marketplace","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.marketplace.offer","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.marketplace.publisher","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.marketplace.sku","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","image.source","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","monitoring","operations.monitoring","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.alerts","operations.monitoring.alerts","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.alerts.action_group_id","operations.monitoring.alerts.action_group_id","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.alerts.enable_alerts","operations.monitoring.alerts.enable_alerts","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.defender","operations.monitoring.defender","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.defender.enable_defender_for_cloud","operations.monitoring.defender.enable_defender_for_cloud","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.diagnostics","operations.monitoring.diagnostics","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.diagnostics.enable_host_pool_diagnostics","operations.monitoring.diagnostics.enable_host_pool_diagnostics","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.diagnostics.enable_workspace_diagnostics","operations.monitoring.diagnostics.enable_workspace_diagnostics","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.diagnostics.log_categories","operations.monitoring.diagnostics.log_categories","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.log_analytics","operations.monitoring.log_analytics","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.log_analytics.resource_group","operations.monitoring.log_analytics.resource_group","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.log_analytics.retention_days","operations.monitoring.log_analytics.retention_days","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","monitoring.log_analytics.workspace_name","operations.monitoring.log_analytics.workspace_name","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-avd","config/variables.example.yml","networking","networking","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","networking.nsg","networking.nsg","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","networking.nsg.apply_default_avd_rules","networking.nsg.apply_default_avd_rules","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","networking.private_endpoints","networking.private_endpoints","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","networking.private_endpoints.enabled","networking.private_endpoints.enabled","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","networking.private_endpoints.subnet_id","networking.private_endpoints.subnet_id","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","scaling","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.enabled","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.days_of_week","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.off_peak","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.off_peak.load_balancer_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.off_peak.start_time","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.peak","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.peak.load_balancer_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.peak.start_time","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.capacity_threshold_percent","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.force_logoff","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.load_balancer_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.minimum_host_percent","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.notification_message","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.start_time","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_down.wait_time_minutes","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.capacity_threshold_percent","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.load_balancer_type","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.minimum_host_percent","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.schedules.ramp_up.start_time","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","scaling.time_zone","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","security","security","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","security.key_vault_name","security.key_vault_name","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","security.key_vault_resource_group","security.key_vault_resource_group","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","session_hosts","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.custom_location_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.gallery_image_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.logical_network_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.resource_group","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.session_host_count","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.session_host_os","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.storage_path_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_admin_password","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_admin_username","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_memory_mb","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_naming_prefix","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_processors","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","session_hosts.vm_start_index","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","subscription","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","subscription.avd_subscription_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","subscription.azure_local_subscription_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","subscription.location","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","subscription.tenant_id","","orphaned_candidate","Requires manual review"
"azurelocal-avd","config/variables.example.yml","tags","tags","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","tags.CostCenter","tags.CostCenter","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","tags.Environment","tags.Environment","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","tags.ManagedBy","tags.ManagedBy","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","tags.Owner","tags.Owner","canonical_candidate","Already under canonical root"
"azurelocal-avd","config/variables.example.yml","tags.Project","tags.Project","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","azure","azure_platform","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local","compute.azure_local","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.cluster_domain","compute.azure_local.cluster_domain","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.cluster_name","compute.azure_local.cluster_name","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.custom_location_id","compute.azure_local.custom_location_id","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes","compute.azure_local.nodes","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes.management_ip","compute.azure_local.nodes.management_ip","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes.role","compute.azure_local.nodes.role","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.nodes.storage_ip","compute.azure_local.nodes.storage_ip","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure_local.storage_path_id","compute.azure_local.storage_path_id","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure.location","azure_platform.location","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure.resource_group","azure_platform.resource_group","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure.subscription_id","azure_platform.subscription_id","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","azure.tenant_id","azure_platform.tenant_id","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials","security.credentials","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials.cluster_admin_password","security.credentials.cluster_admin_password","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials.cluster_admin_username","security.credentials.cluster_admin_username","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials.linux_ssh_key_path","security.credentials.linux_ssh_key_path","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials.linux_ssh_username","security.credentials.linux_ssh_username","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials.vmfleet_admin_password","security.credentials.vmfleet_admin_password","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","credentials.vmfleet_admin_username","security.credentials.vmfleet_admin_username","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","hammerdb","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.db_name","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.db_server","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.db_type","","orphaned_candidate","Requires manual review"
